Instellingscode|Naam instelling
29UK|STC-Group (aangewezen)
29VH|Opleidingsinstituut SUAS (aangewezen)
29VN|Amsterdam School of Real Estate (AMSRE) (aangewezen)
29WF|Webster University (aangewezen)
29WJ|Hogeschool E3 (aangewezen)
29YE|Federatie BelastingAcademie (FBA) (aangewezen)
29ZF|Media Academie (aangewezen)
29ZU|Oysterwyck Hogeschool (aangewezen)
30DZ|Artemis Academie (aangewezen)
30EA|Stichting Opleidingsinstelling GGZ Verpleegkundig Specialist (aangewezen)
30EB|Stichting Schoolvision (aangewezen)
30ET|Netherlands Business Academy (aangewezen)
30FA|Actuarieel Instituut (AI) (aangewezen)
30FW|Nyenrode New Business School (aangewezen)
30GB|Fontys Hogeschool
30GW|Islamic University of Applied Sciences Rotterdam (aangewezen)
30GX|Stenden Masters B.V. (aangewezen)
30HC|Capabel Hogeschool (aangewezen)
30HD|Hogeschool Van Hall Larenstein
30HT|AOG TSM Business School (aangewezen)
30KA|SDO Hogeschool voor Moderne Bedrijfskunde (aangewezen)
30KV|Stichting Humanistisch Vormings Onderwijs (HVO) (aangewezen)
30NA|Nederlandse Defensie Academie (aangewezen)
30NC|Tyndale Theological Seminary (aangewezen)
30ND|Stichting Academie voor Wetgeving (aangewezen)
30PB|Duisenberg School of Finance (aangewezen)
30PH|Wagner Group I Graduate School (aangewezen)
30RB|European Institute For Brand Management (aangewezen)
30RK|Global School for Entrepreneurship University of Applied Sciences (aangewezen)
30TX|Aeres Hogeschool
30UA|Coniche Business School (aangewezen)
30VF|Saba University School of Medicine (BES)
30VP|Hogeschool Thomas More
30WG|HBO Academy (aangewezen)
30XN|Nederlandse Loodsencorporatie (aangewezen)
30YF|Nederlandse Academie voor Beeldcreatie (aangewezen)
31BM|Europe Islamic University of Applied Sciences (aangewezen)
31FR|NHL Stenden Hogeschool
31PT|Hogeschool voor Toegepaste Filosofie (HTF) (aangewezen)
31RK|Academica University of Applied Sciences (aangewezen)
32AZ|Global School for Entrepreneurship (aangewezen)
32CM|Haarlem Institute for Higher Education (aangewezen)
32CZ|BV/BmS Opleidingen (aangewezen)
32DF|International University of Applied Sciences Amsterdam (aangewezen)
95AA|Nederlands Israelitisch Seminarium (aangewezen)
