Instellingscode|Vestigingsnummer|Gemeentenaam volgens RIO|Gemeentecode per 1 januari 2025|Gemeentenaam per 1 januari 2025
25JX|00|HEERLEN|0917|Heerlen
25JX|07|SITTARD-GELEEN|1883|Sittard-Geleen
25JX|13|MAASTRICHT|0935|Maastricht
25JX|14|TILBURG|0855|Tilburg
25KB|00|ARNHEM|0202|Arnhem
25KB|01|NIJMEGEN|0268|Nijmegen
25KB|02|APELDOORN|0200|Apeldoorn
25KB|03|EDE|0228|Ede
27NF|01|ARNHEM|0202|Arnhem
27NF|02|ENSCHEDE|0153|Enschede
27NF|03|ZWOLLE|0193|Zwolle
27NF|04|KAMPEN|0166|Kampen
27PZ|00|ROTTERDAM|0599|Rotterdam
27PZ|01|DIEMEN|0384|Diemen
27PZ|02|ALKMAAR|0361|Alkmaar
27PZ|03|HAARLEM|0392|Haarlem
27PZ|05|DORDRECHT|0505|Dordrecht
27PZ|06|ZAANSTAD|0479|Zaanstad
27PZ|07|AMSTERDAM|0363|Amsterdam
27PZ|08|DELFT|0503|Delft
27PZ|09|'S-GRAVENHAGE|0518|'s-Gravenhage
27PZ|10|OEGSTGEEST|0579|Oegstgeest
27PZ|11|GRONINGEN|0014|Groningen
27PZ|12|VLISSINGEN|0718|Vlissingen
27PZ|13|UTRECHT|0344|Utrecht
27PZ|14|ZWOLLE|0193|Zwolle
27PZ|15|NIJMEGEN|0268|Nijmegen
27PZ|16|HAARLEMMERMEER|0394|Haarlemmermeer
27PZ|17|LEEUWARDEN|0080|Leeuwarden
27PZ|18|VELSEN|0453|Velsen
27UM|01|'S-GRAVENHAGE|0518|'s-Gravenhage
27UM|02|ZOETERMEER|0637|Zoetermeer
27UM|03|LEIDEN|0546|Leiden
27UM|04|RIJSWIJK|0603|Rijswijk
27UM|05|DELFT|0503|Delft
27UM|06|UTRECHT|0344|Utrecht
27XX|00|LEIDEN|0546|Leiden
27XX|01|LEIDEN|0546|Leiden
27XZ|00|UTRECHT|0344|Utrecht
27XZ|01|UTRECHT|0344|Utrecht
27YA|00|MAASTRICHT|0935|Maastricht
29PY|00|DEVENTER|0150|Deventer
29PY|01|ENSCHEDE|0153|Enschede
29PY|02|DORDRECHT|0505|Dordrecht
29PY|03|APELDOORN|0200|Apeldoorn
29PY|04|ZEIST|0355|Zeist
29PY|05|'S-GRAVENHAGE|0518|'s-Gravenhage
27YA|01|Belgie|9910|België
28DN|00|AMSTERDAM|0363|Amsterdam
28DN|01|ALMERE|0034|Almere
28DN|02|ALKMAAR|0361|Alkmaar
28DN|03|HEEMSKERK|0396|Heemskerk
28DN|04|GRAAFSTROOM|1978|Molenlanden
29PY|06|HENGELO|0164|Hengelo
29PY|07|UTRECHT|0344|Utrecht
29PY|08|NAARDEN|1942|Gooise Meren
30GB|00|EINDHOVEN|0772|Eindhoven
30GB|02|VEGHEL|1948|Meierijstad
30GB|03|VENLO|0983|Venlo
30GB|21|'S-GRAVENHAGE|0518|'s-Gravenhage
30GB|22|HENGELO (O)|0164|Hengelo
30GB|23|ROTTERDAM|0599|Rotterdam
30GB|24|UTRECHT|0344|Utrecht
30GB|26|NIJMEGEN|0268|Nijmegen
30GB|30|HELMOND|0794|Helmond
30GB|31|UTRECHTSE HEUVELRUG|1581|Utrechtse Heuvelrug
30GB|32|BREDA|0758|Breda
30GB|33|MAASTRICHT|0935|Maastricht
30GB|34|ZWOLLE|0193|Zwolle
30HD|00|RHEDEN|0275|Rheden
30HD|01|WAGENINGEN|0289|Wageningen
30GB|04|SITTARD-GELEEN|1883|Sittard-Geleen
30GB|07|WAGENINGEN|0289|Wageningen
30GB|08|'S-HERTOGENBOSCH|0796|'s-Hertogenbosch
30GB|13|TILBURG|0855|Tilburg
30GB|19|AMSTERDAM|0363|Amsterdam
30GB|20|BERGEN OP ZOOM|0748|Bergen op Zoom
30HD|02|LEEUWARDEN|0080|Leeuwarden
30TX|01|DRONTEN|0303|Dronten
30TX|02|ALMERE|0034|Almere
30TX|03|WAGENINGEN|0289|Wageningen
30TX|04|NIJMEGEN|0268|Nijmegen
30VP|00|ROTTERDAM|0599|Rotterdam
31FR|00|LEEUWARDEN|0080|Leeuwarden
31FR|01|EMMEN|0114|Emmen
31FR|02|GRONINGEN|0014|Groningen
31FR|03|MEPPEL|0119|Meppel
31FR|04|ASSEN|0106|Assen
31FR|05|TERSCHELLING|0093|Terschelling
31FR|06|ZWOLLE|0193|Zwolle
31FR|07|AMSTERDAM|0363|Amsterdam
