SES_Verslagjaar;SES_PC4;SES_Aantal_huishoudens;SES_Deelscore_welvaart;SES_Deelscore_arbeid;SES_Totaalscore;SES_Spreiding_welvaart;SES_Spreiding_arbeid;SES_Spreiding_totaalscore;SES_Interval_ondergrens;SES_Interval_bovengrens
2022;1795;600;0,13;0,085;0,24;0,289;0,227;0,583;0,567;0,599
2022;1796;700;0,09;0,045;0,144;0,346;0,264;0,661;0,644;0,679
2022;1797;500;0,124;0,029;0,214;0,319;0,259;0,64;0,625;0,656
2022;1811;3400;-0,01;0,036;0,096;0,377;0,309;0,779;0,775;0,783
2022;1812;100;0,041;0,065;0,078;0,372;0,27;0,717;0,677;0,757
2022;1813;4400;-0,123;-0,046;-0,22;0,419;0,393;0,96;0,955;0,965
2022;1814;4500;-0,028;-0,02;-0,049;0,412;0,342;0,937;0,931;0,942
2022;1815;3600;0,108;0,064;0,268;0,31;0,262;0,673;0,667;0,678
2022;1816;4400;-0,04;-0,016;-0,069;0,386;0,342;0,873;0,869;0,878
2022;1817;1900;0,093;0,041;0,224;0,317;0,284;0,713;0,705;0,721
2022;1821;800;-0,02;0,006;-0,015;0,37;0,344;0,871;0,86;0,883
2022;1822;2300;0,132;0,095;0,333;0,301;0,263;0,704;0,699;0,708
2022;1823;3300;0,02;-0,003;0,032;0,376;0,34;0,869;0,862;0,876
2022;1824;3600;-0,034;0,001;-0,04;0,36;0,319;0,834;0,829;0,838
2022;1825;4500;-0,056;-0,013;-0,084;0,37;0,358;0,858;0,853;0,864
2022;1826;3000;0,015;0,019;0,045;0,324;0,311;0,74;0,736;0,745
2022;1827;4700;0,013;0,032;0,058;0,347;0,314;0,787;0,783;0,792
2022;1829;1800;0,113;0,047;0,212;0,313;0,246;0,7;0,691;0,708
2022;1831;1100;0,013;0,01;0,028;0,362;0,317;0,798;0,789;0,807
2022;1832;100;0,149;0,073;0,319;0,302;0,25;0,609;0,577;0,642
2022;1834;2400;0,133;0,062;0,245;0,289;0,26;0,677;0,667;0,686
2022;1841;900;0,109;0,093;0,259;0,309;0,243;0,668;0,655;0,681
2022;1842;200;0,186;0,08;0,33;0,266;0,24;0,668;0,646;0,689
2022;1843;300;0,159;0,084;0,313;0,286;0,227;0,626;0,61;0,641
2022;1844;100;NA;NA;NA;NA;NA;NA;NA;NA
2022;1846;200;0,244;0,117;0,445;0,175;0,213;0,51;0,469;0,551
2022;1847;100;0,174;0,081;0,309;0,308;0,286;0,734;0,7;0,768
2022;1851;5700;0,143;0,035;0,257;0,307;0,288;0,733;0,728;0,738
2022;1852;4800;0,125;0,019;0,208;0,322;0,266;0,728;0,724;0,731
2022;1853;400;0,213;0,168;0,536;0,217;0,16;0,512;0,497;0,527
2022;1861;3100;0,171;-0,003;0,239;0,312;0,26;0,716;0,708;0,725
2022;1862;2800;0,106;0,004;0,155;0,344;0,268;0,747;0,74;0,754
2022;1865;200;0,166;-0,029;0,219;0,321;0,267;0,694;0,679;0,709
2022;1871;2100;0,156;0,01;0,232;0,303;0,257;0,688;0,682;0,695
2022;1873;700;0,085;0,014;0,121;0,342;0,283;0,721;0,709;0,734
2022;1901;6600;0,146;0,04;0,266;0,295;0,269;0,7;0,696;0,703
2022;1902;3900;0,138;0,029;0,23;0,297;0,27;0,706;0,701;0,711
2022;1906;3200;0,184;0,071;0,317;0,261;0,243;0,628;0,624;0,632
2022;1911;5700;0,131;0,074;0,261;0,292;0,259;0,681;0,677;0,685
2022;1921;2100;0,164;0,081;0,28;0,258;0,237;0,604;0,594;0,615
2022;1931;2300;0,059;0,002;0,035;0,358;0,277;0,744;0,735;0,753
2022;1934;1500;0,153;0,068;0,255;0,277;0,25;0,649;0,64;0,659
2022;1935;1100;0,138;0,076;0,233;0,288;0,244;0,642;0,631;0,653
2022;1941;2100;-0,03;0,036;-0,019;0,336;0,296;0,745;0,737;0,753
2022;1942;1100;0,132;0,06;0,257;0,304;0,258;0,711;0,702;0,72
2022;1943;2300;0,089;0,066;0,2;0,313;0,268;0,719;0,713;0,725
2022;1944;3400;-0,026;0,014;-0,031;0,381;0,32;0,828;0,822;0,834
2022;1945;3300;-0,058;-0,011;-0,121;0,394;0,323;0,86;0,853;0,868
2022;1946;2100;-0,16;-0,051;-0,302;0,399;0,4;0,933;0,926;0,939
2022;1947;1700;-0,064;0,015;-0,105;0,374;0,338;0,849;0,838;0,859
2022;1948;2000;0,165;0,162;0,422;0,251;0,174;0,569;0,563;0,576
2022;1949;1100;0,065;0,059;0,177;0,342;0,262;0,696;0,687;0,705
2022;1951;2500;-0,122;-0,045;-0,248;0,409;0,396;0,927;0,922;0,932
2022;1961;800;0,064;0,032;0,095;0,31;0,229;0,633;0,621;0,645
2022;1962;3500;-0,063;-0,017;-0,128;0,395;0,348;0,869;0,864;0,874
2022;1963;2400;0,107;0,052;0,202;0,301;0,258;0,699;0,692;0,706
2022;1964;3200;0,065;0,051;0,112;0,329;0,258;0,728;0,721;0,736
2022;1965;2400;0,186;0,084;0,338;0,241;0,229;0,59;0,582;0,598
