Code vooropleiding oorspr. code|Onderwijssector|Omschrijving vooropleiding oorspr. code
04489|HO|Opleiding tot vertaler
04490|HO|Opleiding tot tolk
04493|HO|AA-Dagopleiding
04496|HO|Assistent-controller
04497|HO|Communicatie Copywriting
04498|HO|Corporate Communicatie
04499|HO|Economische Bedrijfskunde
04500|HO|Facility Management
04501|HO|Jeugdwelzijnswerk
04503|HO|Bejaardenwelzijnswerk
04505|HO|Welzijnsbeleid
04506|HO|Antroposofische gezondheidszorg
04508|HO|Sociale zekerheidskunde
04509|HO|Interne Communicatie
04510|HO|Marketing Communicatie
04511|HO|Milieu Management
04512|HO|Onroerend Goed
04513|HO|Onroerendgoed Management
04514|HO|Personeelsmanagement
04515|HO|Treasury Management
04516|HO|Assurantie (1-jarig)
04517|HO|Assurantie Management
04518|HO|Marketing en Media
04519|HO|Internationaal Marketing Management
04520|HO|Personeel
04521|HO|Internationale Marketing
04522|HO|Marketing & Verkoop
04523|HO|Marketing & Verkoop Management
04524|HO|Administratie
04525|HO|Kort HBO Toeristisch Management
04526|HO|Makelaardij o.g. (2-jarig)
04528|HO|Bedrijfsinformatica
04529|HO|Belastingconsulent
04530|HO|Kort HBO Bedrijfskunde
04531|HO|Kort HBO Management
04532|HO|Hoger Business Management
04533|HO|Kort HBO Logist en facilitair Management
04534|HO|Kort HBO Marketing en Communicatie
04535|HO|Kort HBO Marketing en Sales
04536|HO|Kort HBO Personeelsmanagement
04537|HO|Kort HBO Hotel en Hospitality Management
04539|HO|Kort HBO Beleid en Beheer Gezondheidszorg
04540|HO|Kort HBO Management Gezondheidszorg
04542|HO|Medisch Management
04543|HO|Hogere kaderopleiding internationaal secretariaat
04544|HO|HBO Vastgoed
04545|HO|Bachelor financieel administratief management
04546|HO|Internationale Bedrijfskunde
04547|HO|Hartfunctie Laborant
04549|HO|Optometrie
04550|HO|Medisch a
04551|HO|Medisch b
04552|HO|Medische laboratoriumopleiding
04553|HO|Laboratoriuminformatica en automatisering
04554|HO|Longfunctie Assistent
04555|HO|Kort HBO Vertaler Frans
04556|HO|Kort HBO Vertaler Spaans
04557|HO|Kort HBO Vertaler Duits
04558|HO|Kort HBO Basisprog. Alternat. genezers
04559|HO|Kort HBO Hotelmanagement
04560|HO|Opleiding tot verpleegkundige
04561|HO|Medisch Beeldvormende en Radiotherapeutische Technieken
04564|HO|Docent t.b.v. instell.gez.zorg
04565|HO|Opleiding tot verpleegkundige in de maatschappelijke gezondheidszorg
04567|HO|Opleiding van Kader in de Gezondheidszorg
04568|HO|Opleiding tot leraar voortgezet onderwijs van de tweede graad in verpleegkunde
04570|HO|Opleiding tot fysiotherapeut
04571|HO|Opleiding oefentherapie cesar
04572|HO|Opleiding tot oefentherapeut-Mensendieck
04574|HO|Opleiding voor ergotherapie
04575|HO|Verloskundige
04576|HO|Opleiding Mondhygiene
04577|HO|Opleiding tot orthoptist
04578|HO|Opleiding voor logopedie
04579|HO|Voeding en dietetiek
04581|HO|Opleiding Podotherapie
04582|HO|Voortgezette opleiding in de gezondheidszorg voor management
04583|HO|Voortgezette opleiding in de gezondheidszorg voor beroepsinnov.
04584|HO|Bewegingstechnologie
04585|HO|Opleiding bewegingsagogie/psychomotorische therapie
04586|HO|Prop.verpleegkunde/paramedish
04588|HO|Kort HBO Toeristisch Management en Evenementenorganisatie
04589|HO|Kort HBO Business and Communication
04590|HO|Opleiding Vertaler Frans
04593|HO|Opleiding Vertaler Engels
04596|HO|Informatica technologie
04598|HO|Music-Management
04599|HO|Sport-Management
04600|HO|Hoger Pedag en Sociaal - Agog. Onderwijs
04601|HO|Export, international trade and marketing
04602|HO|Internationaal Management
04603|HO|Commerciele communicatie
04606|HO|Personenvervoer en Verkeer
04607|HO|Fiscale/Juridische/Economische Zaken
04609|HO|Personeel en arbeid
04610|HO|Culturele en maatschappelijke vorming
04611|HO|Personeelswerk
04612|HO|Maatschappelijk werk
04613|HO|Inrichtingswerk
04614|HO|Cultureel werk
04615|HO|Opbouwwerk
04616|HO|Maatschappelijk werk en dienstverlening
04617|HO|Sociaal pedagogische hulpverlening
04641|HO|Sociaal-juridische dienstverlening
04642|HO|Creatieve therapie (voor conversie hsao)
04643|HO|Creatief-educatief werk
04644|HO|Creatieve therapie
04646|HO|Management voor ondernemerschap
04647|HO|Secretary Management Support
04648|HO|Financiele Dienstverlening
04649|HO|Informatiedienstverlening en -management
04650|HO|Assistent bibliothecaris
04651|HO|Bibliothecaris in openbare bib
04652|HO|Bibliothecaris-documentalist
04653|HO|Schoolbibliothecaris
04654|HO|Jeugdbibliothecaris
04655|HO|Muziekbibliothecaris-discothecaris
04656|HO|Functionaris in wetenschappelijke bibliotheken
04657|HO|Boekhandel en uitgeverij
04659|HO|Bedrijfseconomie en Administratie
04660|HO|Propedeutisch jaar muziek
04661|HO|Transport en Beleid
04662|HO|International General Management
04663|HO|Internationaal Transport en Economie
04664|HO|Bedrijfsinformatie management
04665|HO|Mode en management
04666|HO|Hogere informatie management
04667|HO|InterCollege Management School (3-jarig)
04668|HO|Hogere management (4jr)
04669|HO|Informatiemanagement
04670|HO|HBO Logistieke Informatica
04671|HO|HBO Informatie en communicatie technologie
