Code vooropleiding oorspr. code|Onderwijssector|Omschrijving vooropleiding oorspr. code
70099|HO|M Professional Master Manuele Therapie (post-initiele master)
70100|HO|M Professional Master Bekkenfysiotherapie (post-initiele master)
70101|HO|M Accounting and Auditing (post-initiele master)
70102|HO|M Master of Arts Therapies (post-initiele master)
70103|HO|M Personal Leadership in Innovation and Change (post-initiele master)
70104|HO|M Master of Automotive Systems (post-initiele master)
70105|HO|M Muziekprogrammering (post-initiele master)
70106|HO|M Sociale Architectuur (post-initiele master)
70107|HO|M Choreografie (post-initiele master)
70108|HO|M Master Specialized Physical Therapy (post-initiele master)
70109|HO|M Management of Education (post-initiele master)
70110|HO|M Verpleegkundig Specialist / ANP GGZ (post-initiele master)
70111|HO|M Fysiotherapie/Oefentherapie bij Mensen met Chronische Ziekten (post-initiele master)
70112|HO|M Toegepaste Interdisciplinaire Vormgeving (post-initiele master)
70113|HO|M Leren en Innoveren (post-initiele master)
70114|HO|M Finance and Control (post-initiele master)
70115|HO|M Musculoskeletaal (post-initiele master)
70116|HO|M Human Resources Management (post-initiele master)
70117|HO|M Project, Programme & Portfolio Management (post-initiele master)
70118|HO|M Contextuele Benadering (post-initiele master)
70119|HO|M Master of ICT and Business Innovation (post-initiele master)
70120|HO|M Nature Conservation and Biodiversity Management (post-initiele master)
70121|HO|M Urban and Regional Planning (post-initiele master)
70122|HO|M Environmental Science (post-initiele master)
70123|HO|M Master Product Design (post-initiele master)
70124|HO|M Master of Business Administration (post-initiele master)
70125|HO|M International Master of Arts Therapies (post-initiele master)
70126|HO|M Master of Music (post-initiele master)
70127|HO|M Sport- en Beweeginnovatie (post-initiele master)
70128|HO|M Animatie (post-initiele master)
70129|HO|M Professional Master in Media Innovation (post-initiele master)
70130|HO|M International Communication (post-initiele master)
70131|HO|M Islamitische Geestelijke Verzorging (post-initiele master)
70132|HO|M Professioneel Meesterschap (post-initiele master)
70133|HO|M International Leisure and Tourism Studies (post-initiele master)
70134|HO|M International Hospitality and Service Management (post-initiele master)
70135|HO|M SZ (post-initiele master)
70136|HO|M Sportfysiotherapie (post-initiele master)
70137|HO|M Rehabilitation Counselor (post-initiele master)
70138|HO|M Young Professional MBA (post-initiele master)
70139|HO|M Educational Leadership (post-initiele master)
70140|HO|M Human Development (post-initiele master)
70141|HO|M Master of Marketing (post-initiele master)
70142|HO|M Master of Strategic Management (post-initiele master)
70143|HO|M Industriele Innovatie (joint degree) (post-initiele master)
70144|HO|M Facility and Real Estate Management (post-initiele master)
70145|HO|M Leraar Humanistisch Vormingsonderwijs en Levensbeschouwing (post-initiele master)
70146|HO|M Musculoskeletale Revalidatie (post-initiele master)
70147|HO|M Agribusiness Development (post-initiele master)
70148|HO|M Control Systems Engineering (post-initiele master)
70149|HO|M Master of Crisis and Public Order Management (post-initiele master)
70150|HO|M Master of Business Administration (post-initiele master)
70151|HO|M Master in International Business and Management (post-initiele master)
70152|HO|M Evangelical Theology (post-initiele master)
70153|HO|M Information Systems Design (post-initiele master)
70154|HO|M Overheidsjurist (post-initiele master)
70155|HO|M Executive MBA Sport Management (post-initiele master)
70156|HO|M Project, Programma & Portfolio Management (post-initiele master)
70157|HO|M Business Information (post-initiele master)
70158|HO|M Master Coaching (post-initiele master)
70159|HO|M Human Resource Management (post-initiele master)
70160|HO|M Medical Imaging / Radiation Oncology (post-initiele master)
70161|HO|M Social Work & Innovation (post-initiele master)
70162|HO|M European Master in Social Work (post-initiele master)
70163|HO|M Bedrijfskunde Zorg en Dienstverlening (post-initiele master)
70164|HO|M Master Sportfysiotherapie (post-initiele master)
70165|HO|M Master Urban Management (post-initiele master)
70166|HO|M Advanced Health Informatics Practice (post-initiele master)
70167|HO|M Molecular Life Sciences (post-initiele master)
70168|HO|M Docent Hoger Gezondheidszorg Onderwijs (post-initiele master)
70169|HO|M Arbeid en Gezondheid (post-initiele master)
70170|HO|M Master Revalidatie bij Patienten met Chronische Aandoeningen (post-initiele master)
70171|HO|M Master of Brand, Design and Reputation Management (post-initiele master)
70172|HO|M Customer Management (post-initiele master)
70173|HO|M Master Legal Management (post-initiele master)
70174|HO|M Master in Structural Engineering (post-initiele master)
70175|HO|M Fysiotherapie (post-initiele master)
70176|HO|M Master Leiderschap (post-initiele master)
70177|HO|M Master of International Hospitality Management (post-initiele master)
70178|HO|M Polymer Engineering (joint degree) (post-initiele master)
70179|HO|M Master of Urban and Area Development (joint degree) (post-initiele master)
70180|HO|M Fysiotherapie in de Geriatrie (post-initiele master)
70181|HO|M Opleiding tot registerloods: Master in Maritime Piloting (post-initiele master)
70182|HO|M Master of Human Resource Management (post-initiele master)
70183|HO|M Innovation in Complex Care (post-initiele master)
70184|HO|M Forensisch Sociale Professional (post-initiele master)
70185|HO|M Physical Education and Sport Pedagogy (post-initiele master)
70186|HO|M Onderwijskunde (post-initiele master)
70187|HO|M Expertdocent Beroepsonderwijs (post-initiele master)
70188|HO|M Logistiek & Supply Chain Management (post-initiele master)
70189|HO|M Master Care and Technology (joint degree) (post-initiele master)
70190|HO|M Marketingmanagement (post-initiele master)
70191|HO|M Fashion Enterprise Creation (post-initiele master)
70192|HO|M Master of Music Therapy (post-initiele master)
70193|HO|M Toegepaste Psychologie voor Professionals (post-initiele master)
70194|HO|M Bestuurskunde (post-initiele master)
70195|HO|M Bedrijfsrecht (post-initiele master)
70196|HO|M Innovative Dairy Chain Management (post-initiele master)
70197|HO|M Master Leadership in Transition (post-initiele master)
70198|HO|M Master Leiderschap in Onderwijs (post-initiele master)
70199|HO|M Business Engineering (post-initiele master)
70200|HO|M Master Leadership in Education (post-initiele master)
70201|HO|M Master of Marketing (post-initiele master)
70202|HO|M Master of ICT and Business Innovation (post-initiele master)
70203|HO|M Strategy & Leadership (post-initiele master)
70204|HO|M Teammaster Transitie naar Toekomstgericht Onderwijs (post-initiele master)
70205|HO|M Integraal Leiderschap voor Schoolleiders (post-initiele master)
70206|HO|M Master Specialized Physical Therapy (post-initiele master)
70207|HO|M Cyber Security Engineering (post-initiele master)
70208|HO|M Expertleerkracht Primair Onderwijs (post-initiele master)
70210|HO|M Master of Strategic Management (post-initiele master)
70211|HO|M Musculoskeletale Echografie voor Fysiotherapeuten (post-initiele master)
70212|HO|M Master Leiderschap en Innovatie Kind en Educatie (post-initiele master)
70213|HO|M Shipping and Transport (post-initiele master)
70214|HO|M MBA Innovation & Leadership (post-initiele master)
70215|HO|M Innovation & Leadership in Education (post-initiele master)
70216|HO|M Master Kinderfysiotherapie (post-initiele master)
70217|HO|M Onderwijs & Technologie (post-initiele master)
70218|HO|M Global Sustainable Business Management (joint degree) (post-initiele master)
70219|HO|M Master of Human Resource Management (post-initiele master)
70220|HO|M Bedrijfskunde (post-initiele master)
70221|HO|M Master Vitaliteit & Professionaliteit (post-initiele master)
70222|HO|M Digital Forensics (post-initiele master)
70223|HO|M Master of ICT and Business Innovation (post-initiele master)
70224|HO|M Leading Hospitality Innovation (joint degree) (post-initiele master)
70225|HO|M MBA Leadership in Sustainability (post-initiele master)
70226|HO|M Master of Science in Scaling up (post-initiele master)
70227|HO|M Master of Business Management (post-initiele master)
70228|HO|M Toegepaste Filosofie (post-initiele master)
70229|HO|M Public Health and Health Equity (post-initiele master)
70231|HO|M Applied Sustainability Management (post-initiele master)
70232|HO|M Orofaciale Fysiotherapie (post-initiele master)
70233|HO|M Constructief Ontwerpen (post-initiele master)
70234|HO|M Integraal Adviseur MKB (post-initiele master)
70235|HO|M Toegepaste Islamitische Theologie (post-initiele master)
70236|HO|M Medical Imaging / Radiation Oncology (post-initiele master)
70501|MBO|Verspaner (basisberoepsopleiding)
70502|MBO|Installatiemonteur werktuigkundige installaties (basisberoepsopleiding)
70503|MBO|Installatiemonteur werktuigkundige installaties (vakopleiding)
70504|MBO|Machinebouwer Mechatronica (basisberoepsopleiding)
70505|MBO|Machinebouwer Mechatronica (vakopleiding)
70506|MBO|Machinebouwer Mechatronica (middenkaderopleiding)
70507|MBO|Technicus middenkader WEI (middenkaderopleiding)
70508|MBO|Distributiemonteur (basisberoepsopleiding)
70509|MBO|Distributiemonteur (vakopleiding)
70510|MBO|Distributiemonteur (middenkaderopleiding)
71001|MBO|Verkoper (basisberoepsopleiding)
71002|MBO|Ondernemer detailhandel (middenkaderopleiding)
71501|MBO|Doktersassistent (middenkaderopleiding)
71502|MBO|Verpleegkundige (middenkaderopleiding)
71503|MBO|Sport- en bewegingscoordinator (middenkaderopleiding)
71505|MBO|Helpende (basisberoepsopleiding)
71506|MBO|Zorghulp (assistentenopleiding)
71507|MBO|Verzorgende (vakopleiding)
72001|MBO|Timmerkracht (basisberoepsopleiding)
72002|MBO|Middenkaderfunctionaris Bouw-Infra (middenkaderopleiding)
72502|MBO|Medewerker ICT (basisberoepsopleiding)
72503|MBO|Medewerker beheer ICT (vakopleiding)
72504|MBO|ICT-beheerder (middenkaderopleiding)
72505|MBO|Applicatieontwikkelaar (middenkaderopleiding)
72506|MBO|Netwerkbeheerder (middenkaderopleiding)
72507|MBO|Administratief medewerker (basisberoepsopleiding)
72508|MBO|Secretaresse (vakopleiding)
72509|MBO|Managementassistent (middenkaderopleiding)
72510|MBO|Medewerker klantcontact en sales (vakopleiding)
72511|MBO|Medewerker Marketing en Communicatie (middenkaderopleiding)
72512|MBO|Boekhoudkundig medewerker (vakopleiding)
72513|MBO|Administrateur (middenkaderopleiding)
73501|MBO|Medewerker slagerij (basisberoepsopleiding)
74001|MBO|Artiest (middenkaderopleiding)
74002|MBO|DTP (vakopleiding)
74003|MBO|Podium- en evenemententechniek (basisberoepsopleiding)
74004|MBO|Podium- en evenemententechniek (vakopleiding)
74005|MBO|Podium- en evenemententechniek (middenkaderopleiding)
74006|MBO|Mediatechnologie (middenkaderopleiding)
74007|MBO|Mediamanagement (middenkaderopleiding)
74501|MBO|AV-productie (basisberoepsopleiding)
74502|MBO|AV-productie (vakopleiding)
74503|MBO|AV-productie (middenkaderopleiding)
74504|MBO|Mediavormgever (middenkaderopleiding)
74505|MBO|Operator (basisberoepsopleiding)
74506|MBO|Allround operator (vakopleiding)
74507|MBO|Hoofdoperator (middenkaderopleiding)
74508|MBO|Chemisch-fysisch analist (middenkaderopleiding)
75000|HO|M Executive Master of Science in Insurance & Risk (post-initiele master)
75001|MBO|Ondernemer Horeca Bakkerij (middenkaderopleiding)
75002|MBO|Commercieel medewerker reizen (basisberoepsopleiding)
75003|MBO|Commercieel medewerker reizen (vakopleiding)
75004|MBO|Vakman/vakvrouw Banketbakker (basisberoepsopleiding)
75005|MBO|Vakman/vakvrouw Banketbakker (vakopleiding)
75006|HO|M European Master in Law and Economics (post-initiele master)
75007|HO|M Environmental Science (post-initiele master)
75008|HO|M Water Management and Governance (post-initiele master)
75009|HO|M Urban Water and Sanitation (post-initiele master)
75010|HO|M Water Science and Engineering (post-initiele master)
75011|HO|M Urban Management and Development (M.Sc.) (post-initiele master)
75012|HO|M Development Studies (M.A.) (post-initiele master)
75013|HO|M Master of Business Administration (post-initiele master)
75014|HO|M Geo-information Science and Earth Observation (post-initiele master)
75015|HO|M Latijns Amerika Studies (post-initiele master)
75016|HO|M International Finance (post-initiele master)
75017|HO|M Business Administration (post-initiele master)
75018|HO|M Master in International Management and Sustainability (post-initiele master)
75019|HO|M Executive Master of Finance and Control (post-initiele master)
75020|HO|M European Master in Human Rights and Democratisation (post-initiele master)
75021|HO|M Advanced Master in International and European Economic Law (post-initiele master)
75022|HO|M International Relations and Diplomacy (post-initiele master)
75023|HO|M International Executive Master of Finance and Control (post-initiele master)
75024|HO|M Advanced Studies in Air and Space Law (post-initiele master)
75025|HO|M Advanced Studies in European and International Business Law (post-initiele master)
75026|HO|M Advanced Studies in International Tax Law (post-initiele master)
75027|HO|M Advanced Studies in Public International Law (post-initiele master)
75028|HO|M Sociale Interventie (post-initiele master)
75029|HO|M Amsterdam Master's in Medical Anthropology (post-initiele master)
75030|HO|M Human Resource Management (post-initiele master)
75031|HO|M LL.M. Arbitration and Business Law (post-initiele master)
75032|HO|M Advanced Master Programme Tax Governance (post-initiele master)
75033|HO|M International and European Law (post-initiele master)
75034|HO|M International Human Rights and Criminal Justice (post-initiele master)
75035|HO|M International Business Law and Globalisation (post-initiele master)
75036|HO|M Management of Global Competitive Urban Regions: Towards a Sustainable Urban System (post-initiele master)
75037|HO|M Health Professions Education (post-initiele master)
75038|HO|M Public Health for Professionals (post-initiele master)
75039|HO|M Environmental and Energy Management (post-initiele master)
75040|HO|M Geographical Information Sciences (post-initiele master)
75041|HO|M Affective Neuroscience (post-initiele master)
75042|HO|M Health Sciences (post-initiele master)
75043|HO|M Maritime Economics and Logistics (post-initiele master)
75044|HO|M Master of Laws in European and International Taxation (post-initiele master)
75045|HO|M Executive MBA (post-initiele master)
75046|HO|M Global Executive MBA (post-initiele master)
75047|HO|M International MBA (post-initiele master)
75048|HO|M Financial Management (post-initiele master)
75049|HO|M Corporate Communication (post-initiele master)
75050|HO|M Hospitality Management (post-initiele master)
75051|HO|M Management Consultancy (post-initiele master)
75052|HO|M Business Administration MBA (post-initiele master)
75053|HO|M Erasmus Mundus Master of Bioethics (post-initiele master)
75054|HO|M Master in Health Sciences (post-initiele master)
75055|HO|M Public Finance Management (post-initiele master)
75056|HO|M Conflict and Security Law (post-initiele master)
75057|HO|M Bestuurs- en Organisatiewetenschap (post-initiele master)
75058|HO|M EU Law in a Global Context (post-initiele master)
75059|HO|M Evidence Based Practice in Health Care (post-initiele master)
75060|HO|M European Post-master in Urbanism (post-initiele master)
75061|HO|M Executive Master of Accountancy (post-initiele master)
75062|HO|M Veterinary Science (post-initiele master)
75063|HO|M Information Management (post-initiele master)
75064|HO|M Advanced Master Intellectual Property Law and Knowledge Management LL.M. (post-initiele master)
75065|HO|M Advanced Master Intellectual Property Law and Knowledge Management M.Sc. (post-initiele master)
75066|HO|M Master City Developer (post-initiele master)
75067|HO|M Verloskunde (post-initiele master)
75068|HO|M Investment Management (post-initiele master)
75069|HO|M Vitality and Ageing (post-initiele master)
75070|HO|M Teaching and Learning in Higher Education (post-initiele master)
75071|HO|M International Master of Science in Medicine for Saudi Arabian Scholarship Students (post-initiele master)
75072|HO|M Executive Master of Management and Organization (post-initiele master)
75073|HO|M Executive Master in Finance (post-initiele master)
75074|HO|M Executive Master of Business Valuation (post-initiele master)
75075|HO|M Executive Master in Business Administration (post-initiele master)
75076|HO|M Epidemiologie (post-initiele master)
75077|HO|M Erasmus Mundus Master Journalism, Media and Globalisation (post-initiele master)
75078|HO|M Executive Master of Public and Non-profit Management (post-initiele master)
75079|HO|M Executive Master of Management in Education (post-initiele master)
75080|HO|M Master of Public Information Management (post-initiele master)
75081|HO|M Evidence Based Innovation in Teaching (post-initiele master)
75082|HO|M Erasmus Mundus Master Journalism, Media and Globalisation (joint degree) (post-initiele master)
75083|HO|M Risicomanagement (post-initiele master)
75084|HO|M Master of Real Estate (post-initiele master)
75085|HO|M Master of Science in Real Estate (post-initiele master)
75086|HO|M Executive Master of Health Administration (post-initiele master)
75087|HO|M Operations and Supply Chain Excellence (post-initiele master)
75088|HO|M Executive Master of Actuarial Science (post-initiele master)
75089|HO|M Advanced Epidemiology in Clinical and Genetic Research (joint degree) (post-initiele master)
75090|HO|M Public Human Resource Strategy (post-initiele master)
75091|HO|M Executive Master of Information Management and Digital Transformations (post-initiele master)
75092|HO|M Academisch Meesterschap (post-initiele master)
75093|HO|M European Master in Architecture (post-initiele master)
75094|HO|M Bedrijfskunde in Deeltijd (post-initiele master)
75095|HO|M Opleiding tot Wetgevingsjurist (post-initiele master)
75096|HO|M LLM Finance and Law (post-initiele master)
75097|HO|M European Master in Renewable Energy (post-initiele master)
75098|HO|M Erasmus Mundus Master's Program in Public Policy (joint degree) (post-initiele master)
75099|HO|M Executive Master of IT-Auditing (post-initiele master)
75100|HO|M Docent Hoger Gezondheidszorg Onderwijs (post-initiele master)
75101|HO|M International Full-Time Master of Business Administration (post-initiele master)
75102|HO|M Erasmus Mundus Master of Bioethics (joint degree) (post-initiele master)
75103|HO|M Executive Master in MRI Principles and Applications (post-initiele master)
75104|HO|M Bedrijfskunde (post-initiele master)
75105|HO|M Executive Master in Accounting and Financial Management (post-initiele master)
75106|HO|M Executive Master of Real Estate (post-initiele master)
75107|HO|M Fiscaal Recht (post-initiele master)
75108|HO|M The Berlage Post-master in Architecture and Urban Design (post-initiele master)
75109|HO|M Master of Real Estate (post-initiele master)
75110|HO|M Master of Science in Real Estate (post-initiele master)
75111|HO|M Executive Master of Marketing and Customer Management (post-initiele master)
75112|HO|M Risk Management for Financial Institutions (post-initiele master)
75113|HO|M Advanced Studies in International Civil and Commercial Law (post-initiele master)
75114|HO|M Advanced Studies in European and International Human Rights Law (post-initiele master)
75115|HO|M Advanced Studies in European Tax Law (post-initiele master)
75116|HO|M Advanced Studies in Law and Digital Technologies (post-initiele master)
75117|HO|M Actuarial Science and Mathematical Finance (post-initiele master)
75118|HO|M Advanced Master in Energy Law (joint degree) (post-initiele master)
75119|HO|M Veiligheidszorg, Recht en Bestuur (post-initiele master)
75120|HO|M Cyber Security (post-initiele master)
75121|HO|M Advanced Studies in International Children's Rights (post-initiele master)
75122|HO|M International Tax Law (post-initiele master)
75123|HO|M Verandermanagement (post-initiele master)
75124|HO|M European Joint Master's in Strategic Border Management (joint degree) (post-initiele master)
75125|HO|M Master in Managing Information and Sustainable Change (post-initiele master)
75126|HO|M Kwaliteit en Veiligheid in de Patientenzorg (post-initiele master)
75127|HO|M Advanced Studies in Transfer Pricing for Multinational Enterprises (post-initiele master)
75128|HO|M Oral Health Sciences (joint degree) (post-initiele master)
75129|HO|M IT Audit, Compliance & Advisory (post-initiele master)
75130|HO|M Health Informatics (post-initiele master)
75131|HO|M European Master in Law and Economics (joint degree) (post-initiele master)
75132|HO|M Advanced Studies in Law and Finance (post-initiele master)
75133|HO|M Customs and Supply Chain Compliance (post-initiele master)
75134|HO|M Marketing (post-initiele master)
75135|HO|M Commercieel Privaatrecht (post-initiele master)
75136|HO|M Executive Master of Operations and Supply Chain Management (post-initiele master)
75137|HO|M Executive Master of Finance and Control (post-initiele master)
75138|HO|M International Executive Master of Finance and Control (post-initiele master)
75139|HO|M Executive Master of Science of Auditing Studies (post-initiele master)
75140|HO|M Advanced Studies in Global and European Labour Law (post-initiele master)
75141|HO|M Advanced Studies in International Dispute Settlement and Arbitration (post-initiele master)
75142|HO|M Executive Master Mergers & Acquisitions and Valuation (post-initiele master)
75143|HO|M Executive Master of Business Administration (post-initiele master)
75144|HO|M Sanitation (post-initiele master)
75145|HO|M Executive Master in Cultural Leadership (post-initiele master)
75146|HO|M Latijns Amerika Studies (post-initiele master)
75147|HO|M Master of Arts in Management (post-initiele master)
75148|HO|M Executive MSc Senior Docent Ontwerpen (post-initiele master)
75149|HO|M Ethiek, Recht en Zorg (post-initiele master)
75150|HO|M Advanced Master in Privacy, Cybersecurity and Data Management (post-initiele master)
75151|HO|M Executive Master in Business Administration (post-initiele master)
75152|HO|M MBA in International Business (post-initiele master)
75153|HO|M Executive MBA: Leading with Purpose (post-initiele master)
75154|HO|M Water and Sustainable Development (post-initiele master)
75155|HO|M Urban Management and Development (M.Sc.) (post-initiele master)
75156|HO|M Transfusion Medicine and Cellular and Tissue Therapies (joint degree) (post-initiele master)
75157|HO|M Cartography (joint degree) (post-initiele master)
75158|HO|M Water and Sustainable Development (research) (post-initiele master)
75159|HO|M International Development (post-initiele master)
75160|HO|M Controlling (post-initiele master)
75161|HO|M Advanced LLM in Technology Governance (post-initiele master)
75162|HO|M Executive Master Mergers & Acquisitions and Valuation (joint degree) (post-initiele master)
75163|HO|M International Accountancy (joint degree) (post-initiele master)
75164|HO|M Gifted Education and Care (post-initiele master)
75165|HO|M Publiek Management (post-initiele master)
75501|MBO|Vormgever/medewerker ruimtelijke presentatie en communicatie (basisberoepsopleiding)
75502|MBO|Vormgever/medewerker ruimtelijke presentatie en communicatie (middenkaderopleiding)
75503|MBO|Medewerker schilderen (basisberoepsopleiding)
75504|MBO|Medewerker stukadoren (basisberoepsopleiding)
76001|MBO|Logistiek medewerker (basisberoepsopleiding)
76003|MBO|Chauffeur personenvervoer (basisberoepsopleiding)
76501|MBO|Machinist bouw/infra (vakopleiding)
76502|MBO|Middenkaderfunctionaris Bouw-Infra (middenkaderopleiding)
77001|MBO|Verkoopadviseur Motorvoertuigen (vakopleiding)
77501|MBO|Arbeidsmarktgekwalificeerd Assistent (assistentenopleiding)
78001|MBO|Technisch oogheelkundig assistent (middenkaderopleiding)
79000|MBO|Bouw en infra (opleidingsdomein)
79010|MBO|Afbouw, hout en onderhoud (opleidingsdomein)
79020|MBO|Techniek en procesindustrie (opleidingsdomein)
79030|MBO|Ambacht, laboratorium en gezondheidstechniek (opleidingsdomein)
79040|MBO|Media en vormgeving (opleidingsdomein)
79050|MBO|Informatie en communicatietechnologie (opleidingsdomein)
79060|MBO|Mobiliteit en voertuigen (opleidingsdomein)
79070|MBO|Transport, scheepvaart en logistiek (opleidingsdomein)
79080|MBO|Handel en ondernemerschap (opleidingsdomein)
79090|MBO|Economie en administratie (opleidingsdomein)
79100|MBO|Veiligheid en sport (opleidingsdomein)
79110|MBO|Uiterlijke verzorging (opleidingsdomein)
79120|MBO|Horeca en bakkerij (opleidingsdomein)
79130|MBO|Toerisme en recreatie (opleidingsdomein)
79140|MBO|Zorg en welzijn (opleidingsdomein)
79150|MBO|Voedsel, natuur en leefomgeving (EL&I) (opleidingsdomein)
79160|MBO|Voedsel, natuur en leefomgeving (opleidingsdomein)
80001|HO|Ad Informatiedienstverlening en -management
80002|HO|Ad Personeel en Arbeid
80003|HO|Ad Senior Medewerker Informatievoorziening
80004|HO|Ad Facility Management
80005|HO|Ad Chemische Technologie
80006|HO|Ad Dier- en Veehouderij
80007|HO|Ad Officemanagement
80008|HO|Ad Accountancy
80009|HO|Ad Tourism Management
80010|HO|Ad Ondernemerschap & Retail Management
80011|HO|Ad Management in de Zorg
80012|HO|Ad Tuinbouw en Akkerbouw
80013|HO|Ad Assistent Fiscalist
80014|HO|Ad Business IT & Management
80015|HO|Ad Educatie en Kennismanagement Groene Sector Bloemsierkunst
80016|HO|Ad Civiele Techniek Projectvoorbereiding en -realisatie
80017|HO|Ad Elektrotechniek
80018|HO|Ad Industrieel Product Ontwerpen
80019|HO|Ad Werktuigbouwkunde
80020|HO|Ad Technische Bedrijfskunde
80021|HO|Ad Interieurvormgever
80022|HO|Ad Technische Informatica
80023|HO|Ad Omgevingskunde
80024|HO|Ad IT Service Management
80025|HO|Ad Praktijkondersteuner in de Zorg
80026|HO|Ad Sport, Gezondheid en Management
80027|HO|Ad Muziek (dirigent Hafabra)
80028|HO|Ad Bedrijfskunde en Agribusiness
80029|HO|Ad Assistent Marketeer
80030|HO|Ad Schrijftolk
80031|HO|Ad Eventmanager
80032|HO|Ad Intercedent
80033|HO|Ad Klinische Chemie
80034|HO|Ad Bouwkunde
80035|HO|Ad Crossmediale Communicatie
80036|HO|Ad Marketing Management
80037|HO|Ad Bouwtechnische Bedrijfskunde
80038|HO|Ad Financiele Dienstverlening
80039|HO|Ad Projectleider Techniek
80040|HO|Ad Leisure & Events Management
80041|HO|Ad Hotel Management
80042|HO|Ad Civiele Techniek Directievoering
80043|HO|Ad Ondernemerschap
80044|HO|Ad Melkveehouderij
80045|HO|Ad Onderwijsondersteuner Gezondheidszorg en Welzijn
80046|HO|Ad Onderwijsondersteuner Mechanische Techniek I en II
80047|HO|Ad Onderwijsondersteuner Motorvoertuigentechniek I en II
80048|HO|Ad Onderwijsondersteuner Elektrotechniek I en II
80049|HO|Ad Onderwijsondersteuner Bouwtechniek I en II
80050|HO|Ad Onderwijsondersteuner Installatietechniek I en II
80051|HO|Ad Onderwijsondersteuner Techniek
80052|HO|Ad Onderwijsondersteuner Consumptieve Techniek I en II
80053|HO|Ad Onderwijsondersteuner Metaal-Elektro-Installatietechniek (MEI), Elektrotechniek
80054|HO|Ad Onderwijsondersteuner Handel en Administratie
80055|HO|Ad Onderwijsondersteuner Metaal-Elektro-Installatietechniek (MEI), Mechanische Techniek
80056|HO|Ad Onderwijsondersteuner Uiterlijke Verzorging
80057|HO|Ad Onderwijsondersteuner Economische Vakken
80058|HO|Ad Taalondersteuner
80059|HO|Ad Onderwijsondersteuner Zorg & Welzijn
80060|HO|Ad Onderwijsondersteuner Omgangskunde
80061|HO|Ad Onderwijsondersteuner Werktuigbouwkunde I en II
80062|HO|Ad Onderwijsondersteuner Bouwkunde I en II
80063|HO|Ad Onderwijsondersteuner Informatie- en Communicatietechnologie I en II
80064|HO|Ad Onderwijsondersteuner Groene Sector
80065|HO|Ad Finance & Control
80066|HO|Ad Verkeerskundig Medewerker
80067|HO|Ad Maritieme Techniek
80068|HO|Ad Tuin- en Landschapsinrichting
80069|HO|Ad Duurzame Watertechnologie
80070|HO|Ad Duurzaam Bodembeheer
80071|HO|Ad ICT-Beheer
80072|HO|Ad Hoger Toeristisch en Recreatief Onderwijs
80073|HO|Ad Human Resource Management
80074|HO|Ad Bedrijfskunde
80075|HO|Ad Informatica
80076|HO|Ad Constructeur Werktuigbouwkunde
80077|HO|Ad Systeemspecialist Automotive
80078|HO|Ad Arts & Crafts
80079|HO|Ad Maintenance & Mechanics
80080|HO|Ad Ondernemen
80081|HO|Ad Pedagogisch Educatief Medewerker
80082|HO|Ad Vitaliteitsmanagement & Toerisme
80083|HO|Ad ICT Service Management
80084|HO|Ad Medische Laboratoriumdiagnostiek
80085|HO|Ad Dans
80086|HO|Ad Ervaringsdeskundigheid in Zorg en Welzijn
80087|HO|Ad Marketingcommunicatie
80088|HO|Ad Facilitair Eventmanagement
80089|HO|Ad Retail Management
80090|HO|Ad Sociaal Financiele Dienstverlening
80091|HO|Ad Engineering
80092|HO|Ad Operationeel Manager
80093|HO|Ad Financial Services Management
80094|HO|Ad Business Management
80095|HO|Ad Kinderopvang
80096|HO|Ad Commercieel Management
80097|HO|Ad Landscape & Environment Technology
80098|HO|Ad Onderwijsondersteuner Technisch Beroepsonderwijs
80099|HO|Ad Payroll Professional
80100|HO|Ad Sales
80101|HO|Ad Rechten
80102|HO|Ad Security Management
80103|HO|Ad Commerciele Economie
80104|HO|Ad Hotel & Event Management
80105|HO|Ad Hotel Operations Management
80106|HO|Ad International Business Management
80107|HO|Ad International Business
80108|HO|Ad Financieel Management
80109|HO|Ad ICT & Telecommunicatie
80110|HO|Ad Industriele Automatisering
80111|HO|Ad Improvement Analist
80112|HO|Ad Media Design
80113|HO|Ad Management
80114|HO|Ad Marketing
80115|HO|Ad Logistiek en Economie
80116|HO|Ad Management, Economie en Recht
80117|HO|Ad Payroll Services
80118|HO|Ad Jeugdwerker
80119|HO|Ad Welzijn en zorg voor ouderen
80120|HO|Ad Sociaal Werk in de Zorg
80121|HO|Ad Integraal Bouwmanagement
80122|HO|Ad Retailmanagement en -marketing
80123|HO|Ad Elektrotechniek/Energietechniek
80124|HO|Ad Embedded Systems Engineering
80125|HO|Ad Bouwtechnisch Medewerker
80126|HO|Ad Sales en Accountmanagement
80127|HO|Ad Pedagogisch Professional Kind en Educatie
80128|HO|Ad Land- en Watermanagement
80129|HO|Ad Tuinbouwmanagement
80130|HO|Ad Software Development
80131|HO|Ad Zorg en Technologie
80132|HO|Ad ICT
80133|HO|Ad Logistiek Management
80134|HO|Ad Business Studies Logistiek
80135|HO|Ad Online Marketing en Sales
80136|HO|Ad Juridisch medewerker
80137|HO|Ad Service, Welzijn & Zorg
80138|HO|Ad Technische Productie
80139|HO|Ad Communicatie
80140|HO|Ad Sociaal Werk
80141|HO|Ad Voedingsmiddelentechnologie
80142|HO|Ad Pedagogisch Educatief Professional
80143|HO|Ad Finance
80144|HO|Ad Design
80145|HO|Ad Social Work
