Opleidingscode|ISCEDF2013-detailgroep|ISCEDF2013-detailgroep omschrijving|ISCEDF2013-rubriek|ISCEDF2013-rubriek omschrijving
06626|0413|management bedrijfs- en personeelswetenschappen|041306|personeelswerk
06627|0413|management bedrijfs- en personeelswetenschappen|041301|bestuurskunde algemeen
06628|0314|sociologie en culturele wetenschappen|031403|cultuurwetenschappen
06629|0413|management bedrijfs- en personeelswetenschappen|041301|bestuurskunde algemeen
06630|0412|financiële dienstverlening|041203|sociale zekerheid
06631|0314|sociologie en culturele wetenschappen|031401|sociale wetenschappen
06632|0413|management bedrijfs- en personeelswetenschappen|041301|bestuurskunde algemeen
06633|1015|toerisme en vrijetijdsbesteding|101503|vrijetijdsbesteding, recreatie
06634|0111|onderwijskunde|011101|onderwijskunde
06636|0314|sociologie en culturele wetenschappen|031402|sociologie
06637|0314|sociologie en culturele wetenschappen|031401|sociale wetenschappen
06638|0322|bibliotheek, documentaire informatievoorziening|032201|bibliotheek, archief
06639|0613|softwareontwikkeling en systeemanalyse|061305|bedrijfsinformatica
06641|0314|sociologie en culturele wetenschappen|031405|ontwikkelingskunde (regio)
06642|0542|statistiek|054201|statistiek
06643|0619|informatica overig|061901|kunstmatige intelligentie en kennistechnologie
06645|0311|economie en econometrie|031101|economie
06646|0619|informatica overig|061901|kunstmatige intelligentie en kennistechnologie
06647|0542|statistiek|054201|statistiek
06648|0321|journalistiek|032102|communicatiewetenschappen
06699|0215|muziek en theater|021502|theater
06700|0215|muziek en theater|021501|muziek
06701|0211|audiovisuele techniek en mediaproductie|021101|fotografie, film, video
06702|0215|muziek en theater|021502|theater
06703|0222|geschiedenis, archeologie|022202|archeologie
06704|0222|geschiedenis, archeologie|022202|archeologie
06705|0231|vreemde talen z.n.d.|023108|niet westerse talen en culturen
06706|0221|theologie, levensbeschouwing|022101|theologie
06707|0314|sociologie en culturele wetenschappen|031403|cultuurwetenschappen
06708|0314|sociologie en culturele wetenschappen|031403|cultuurwetenschappen
06709|0231|vreemde talen z.n.d.|023106|klassieke talen
06710|0213|beeldende kunst, kunstgeschiedenis|021303|kunstgeschiedenis
06711|0232|moedertaal, literatuur-, taalwetenschap|023202|taalwetenschappen
06713|0232|moedertaal, literatuur-, taalwetenschap|023202|taalwetenschappen
06717|0222|geschiedenis, archeologie|022202|archeologie
06718|0232|moedertaal, literatuur-, taalwetenschap|023202|taalwetenschappen
06719|0414|marketing en public relations|041402|public relations
06720|0232|moedertaal, literatuur-, taalwetenschap|023202|taalwetenschappen
06721|0221|theologie, levensbeschouwing|022101|theologie
06722|0232|moedertaal, literatuur-, taalwetenschap|023202|taalwetenschappen
06800|0221|theologie, levensbeschouwing|022101|theologie
06801|0232|moedertaal, literatuur-, taalwetenschap|023203|taal- en cultuurwetenschappen
06802|0232|moedertaal, literatuur-, taalwetenschap|023203|taal- en cultuurwetenschappen
06803|0232|moedertaal, literatuur-, taalwetenschap|023202|taalwetenschappen
06804|0232|moedertaal, literatuur-, taalwetenschap|023201|Nederlands
06805|0231|vreemde talen z.n.d.|023104|Duits
06806|0231|vreemde talen z.n.d.|023102|Engels
06807|0231|vreemde talen z.n.d.|023107|overige westerse talen
06808|0231|vreemde talen z.n.d.|023103|Frans
06809|0231|vreemde talen z.n.d.|023107|overige westerse talen
06810|0231|vreemde talen z.n.d.|023105|Spaans
06811|0231|vreemde talen z.n.d.|023107|overige westerse talen
06812|0231|vreemde talen z.n.d.|023107|overige westerse talen
06813|0231|vreemde talen z.n.d.|023108|niet westerse talen en culturen
06814|0231|vreemde talen z.n.d.|023108|niet westerse talen en culturen
06815|0231|vreemde talen z.n.d.|023108|niet westerse talen en culturen
06816|0231|vreemde talen z.n.d.|023106|klassieke talen
06817|0231|vreemde talen z.n.d.|023108|niet westerse talen en culturen
06818|0231|vreemde talen z.n.d.|023108|niet westerse talen en culturen
06819|0231|vreemde talen z.n.d.|023108|niet westerse talen en culturen
06820|0231|vreemde talen z.n.d.|023108|niet westerse talen en culturen
06821|0231|vreemde talen z.n.d.|023108|niet westerse talen en culturen
06822|0613|softwareontwikkeling en systeemanalyse|061305|bedrijfsinformatica
06823|0314|sociologie en culturele wetenschappen|031403|cultuurwetenschappen
06824|0213|beeldende kunst, kunstgeschiedenis|021303|kunstgeschiedenis
06825|0222|geschiedenis, archeologie|022202|archeologie
06826|0321|journalistiek|032102|communicatiewetenschappen
06827|0421|recht|042105|fiscaal recht
06828|0421|recht|042103|notariaat
06829|0421|recht|042102|internationaal recht
06831|0712|milieubescherming en milieutechnologie|071202|milieumanagement
06832|0311|economie en econometrie|031101|economie
06833|0311|economie en econometrie|031103|econometrie
06834|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
06835|0811|landbouw en veeteelt|081102|planten-, groente en fruitteelt
06836|0410|bedrijfskunde en administratie z.n.d.|041000|bedrijfskunde en administratie z.n.d.
06837|0314|sociologie en culturele wetenschappen|031405|ontwikkelingskunde (regio)
06838|0314|sociologie en culturele wetenschappen|031404|sociale geografie
06839|0521|milieu|052101|milieukunde
06840|0541|wiskunde|054101|wiskunde
06841|0512|biochemie|051204|biotechnologie
06842|0613|softwareontwikkeling en systeemanalyse|061301|informatietechnologie algemeen
06843|0500|wiskunde, natuurwetenschappen z.n.d.|050000|wiskunde, natuurwetenschappen z.n.d.
06844|0533|natuurkunde|053301|natuurkunde
06846|0521|milieu|052101|milieukunde
06848|0731|architectuur en stedebouwkunde|073101|planologie
06849|0811|landbouw en veeteelt|081103|dierenteelt, -verzorging algemeen
06850|0712|milieubescherming en milieutechnologie|071201|milieutechnologie
06851|0910|gezondheidszorg|091000|gezondheidszorg z.n.d.
06852|0923|maatschappelijk werk en beroepskeuzewerk|092303|sociaal-maatschappelijke dienstverlening
06853|0313|psychologie|031301|psychologie
06854|0910|gezondheidszorg|091000|gezondheidszorg z.n.d.
06856|0541|wiskunde|054101|wiskunde
06857|0531|scheikunde|053101|scheikunde
06858|0532|aardwetenschappen|053201|geologie, fysische geografie
06859|0532|aardwetenschappen|053201|geologie, fysische geografie
06860|0511|biologie|051101|biologie
06861|0521|milieu|052101|milieukunde
06862|0521|milieu|052101|milieukunde
06863|0521|milieu|052101|milieukunde
06864|0512|biochemie|051201|biochemie, biologische laboratoriumtechniek
06865|0511|biologie|051101|biologie
06866|0541|wiskunde|054101|wiskunde
06867|0613|softwareontwikkeling en systeemanalyse|061301|informatietechnologie algemeen
06868|0512|biochemie|051203|voeding en gezondheid
06870|0500|wiskunde, natuurwetenschappen z.n.d.|050000|wiskunde, natuurwetenschappen z.n.d.
06871|0521|milieu|052101|milieukunde
06872|0533|natuurkunde|053302|sterrenkunde
06873|0916|farmacie|091601|farmacie
06874|0542|statistiek|054201|statistiek
06876|0916|farmacie|091601|farmacie
06877|0541|wiskunde|054101|wiskunde
06878|0532|aardwetenschappen|053202|meteorologie
06879|0532|aardwetenschappen|053201|geologie, fysische geografie
06880|0532|aardwetenschappen|053201|geologie, fysische geografie
06881|0521|milieu|052101|milieukunde
06882|0512|biochemie|051202|biomedische wetenschappen
06883|0542|statistiek|054201|statistiek
06949|0714|elektronica en industriële automatisering|071404|scheepsradio-, tele- en datacommunicatie
06950|0915|therapie en revalidatie|091501|fysiotherapie, bewegingswetenschappen
06951|0731|architectuur en stedebouwkunde|073103|bouwkundige architectuur, stedenbouw
06952|0732|bouwkunde en civiele techniek|073201|weg- en waterbouw
06953|0713|elektro- en energietechniek|071301|elektrotechniek algemeen
06954|0731|architectuur en stedebouwkunde|073102|landmeetkunde
06955|0719|techniek en technische dienstverlening overig|071901|technische industriele vormgeving
06956|0716|voertuigtechniek, scheepsbouw- en vliegtuigbouwkunde|071606|vliegtuigbouwkunde
06957|0716|voertuigtechniek, scheepsbouw- en vliegtuigbouwkunde|071605|scheepsbouwkunde
06958|0533|natuurkunde|053303|materiaalkunde
06959|0532|aardwetenschappen|053201|geologie, fysische geografie
06960|0711|scheikundige technologie en procestechniek|071104|chemische technologie
06961|0533|natuurkunde|053301|natuurkunde
06962|0533|natuurkunde|053301|natuurkunde
06963|0711|scheikundige technologie en procestechniek|071104|chemische technologie
06964|0613|softwareontwikkeling en systeemanalyse|061301|informatietechnologie algemeen
06965|0541|wiskunde|054101|wiskunde
06966|0715|werktuigbouwkunde en metaalbewerking|071501|werktuigbouwkunde algemeen
07617|0114|lerarenopleiding algemene en beroepsgerichte vakken|011411|maatschappijleer
07618|0114|lerarenopleiding algemene en beroepsgerichte vakken|011411|maatschappijleer
07620|0114|lerarenopleiding algemene en beroepsgerichte vakken|011411|maatschappijleer
07720|0114|lerarenopleiding algemene en beroepsgerichte vakken|011411|maatschappijleer
08000|0114|lerarenopleiding algemene en beroepsgerichte vakken|011407|overige talen
08001|0114|lerarenopleiding algemene en beroepsgerichte vakken|011407|overige talen
08003|0114|lerarenopleiding algemene en beroepsgerichte vakken|011406|klassieke talen
08004|0114|lerarenopleiding algemene en beroepsgerichte vakken|011401|nederlands
08006|0114|lerarenopleiding algemene en beroepsgerichte vakken|011404|frans
08007|0114|lerarenopleiding algemene en beroepsgerichte vakken|011407|overige talen
08008|0114|lerarenopleiding algemene en beroepsgerichte vakken|011405|spaans
08009|0114|lerarenopleiding algemene en beroepsgerichte vakken|011409|godsdienst
08010|0114|lerarenopleiding algemene en beroepsgerichte vakken|011403|duits
08011|0114|lerarenopleiding algemene en beroepsgerichte vakken|011402|engels
08012|0114|lerarenopleiding algemene en beroepsgerichte vakken|011407|overige talen
08014|0114|lerarenopleiding algemene en beroepsgerichte vakken|011407|overige talen
08034|0114|lerarenopleiding algemene en beroepsgerichte vakken|011408|geschiedenis
08040|0114|lerarenopleiding algemene en beroepsgerichte vakken|011407|overige talen
08041|0114|lerarenopleiding algemene en beroepsgerichte vakken|011406|klassieke talen
08074|0114|lerarenopleiding algemene en beroepsgerichte vakken|011409|godsdienst
08075|0114|lerarenopleiding algemene en beroepsgerichte vakken|011409|godsdienst
08081|0114|lerarenopleiding algemene en beroepsgerichte vakken|011431|overige vakken
08100|0114|lerarenopleiding algemene en beroepsgerichte vakken|011409|godsdienst
08151|0114|lerarenopleiding algemene en beroepsgerichte vakken|011416|wiskunde
08152|0114|lerarenopleiding algemene en beroepsgerichte vakken|011416|wiskunde
08154|0114|lerarenopleiding algemene en beroepsgerichte vakken|011418|natuur-, scheikunde
08155|0114|lerarenopleiding algemene en beroepsgerichte vakken|011418|natuur-, scheikunde
08156|0114|lerarenopleiding algemene en beroepsgerichte vakken|011418|natuur-, scheikunde
08159|0114|lerarenopleiding algemene en beroepsgerichte vakken|011418|natuur-, scheikunde
