Opleidingscode|ISCEDF2013-detailgroep|ISCEDF2013-detailgroep omschrijving|ISCEDF2013-rubriek|ISCEDF2013-rubriek omschrijving
01020|0414|marketing en public relations|041401|marketing, commerciele economie
01021|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
01022|0413|management bedrijfs- en personeelswetenschappen|041301|bestuurskunde algemeen
01023|0312|politicologie en maatschappijwetenschappen|031201|politicologie
01024|0413|management bedrijfs- en personeelswetenschappen|041301|bestuurskunde algemeen
01025|0222|geschiedenis, archeologie|022201|geschiedenis
01026|0413|management bedrijfs- en personeelswetenschappen|041301|bestuurskunde algemeen
01027|0232|moedertaal, literatuur-, taalwetenschap|023203|taal- en cultuurwetenschappen
01028|0223|filosofie en ethiek|022301|filosofie
01029|0311|economie en econometrie|031101|economie
01030|0613|softwareontwikkeling en systeemanalyse|061305|bedrijfsinformatica
01031|0521|milieu|052101|milieukunde
01032|0521|milieu|052101|milieukunde
01033|0532|aardwetenschappen|053201|geologie, fysische geografie
01034|0511|biologie|051101|biologie
01035|0712|milieubescherming en milieutechnologie|071202|milieumanagement
01036|0914|medische diagnostiek en medische technologie|091408|hart-, longfunctie en overige medische techniek
01037|1022|veiligheid op het werk en ergonomie|102202|ergonomie
01038|0413|management bedrijfs- en personeelswetenschappen|041304|organisatiekunde, kwaliteitszorg
01039|0413|management bedrijfs- en personeelswetenschappen|041304|organisatiekunde, kwaliteitszorg
01040|0314|sociologie en culturele wetenschappen|031401|sociale wetenschappen
01041|0314|sociologie en culturele wetenschappen|031402|sociologie
01042|0613|softwareontwikkeling en systeemanalyse|061301|informatietechnologie algemeen
01043|0613|softwareontwikkeling en systeemanalyse|061301|informatietechnologie algemeen
01044|0613|softwareontwikkeling en systeemanalyse|061301|informatietechnologie algemeen
01045|0541|wiskunde|054101|wiskunde
01046|0413|management bedrijfs- en personeelswetenschappen|041306|personeelswerk
01047|0111|onderwijskunde|011101|onderwijskunde
04001|0231|vreemde talen z.n.d.|023109|tolk-vertaler
04003|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
04004|0231|vreemde talen|023109|tolk-vertaler
04005|0231|vreemde talen|023108|niet westerse talen en culturen
04006|0413|management bedrijfs- en personeelswetenschappen|041305|bedrijfseconomie
04007|1013|horeca|101301|horeca algemeen
04008|0416|groothandel en detailhandel|041602|detailhandel
04009|0413|management bedrijfs- en personeelswetenschappen|041306|personeelswerk
04011|0415|secretariële en administratieve ondersteuning|041505|secretarieel (incl. managementassistentie)
04012|0411|financieel management en belastingen|041101|financieel management en administratie
04013|1015|toerisme en vrijetijdsbesteding|101503|vrijetijdsbesteding, recreatie
04014|0411|financieel management en belastingen|041101|financieel management en administratie
04015|0415|secretariële en administratieve ondersteuning|041505|secretarieel (incl. managementassistentie)
04016|0917|traditionele en alternatieve geneeskunde en therapie|091701|traditionele en alternatieve geneeskunde en therapie
04017|1032|openbare orde en veiligheid|103201|beveiliging algemeen
04018|1041|transport en logistiek|104101|(transport en) logistiek algemeen
04019|0311|economie en econometrie|031101|economie
04020|0416|groothandel en detailhandel|041604|makelaardij, vastgoedkunde
04021|0411|financieel management en belastingen|041101|financieel management en administratie
04022|0411|financieel management en belastingen|041101|financieel management en administratie
04023|0412|financiële dienstverlening|041202|verzekeringswezen
04024|0412|financiële dienstverlening|041202|verzekeringswezen
04025|0413|management bedrijfs- en personeelswetenschappen|041309|office management (excl. managementassistentie)
04026|0414|marketing en public relations|041401|marketing, commerciele economie
04027|1015|toerisme en vrijetijdsbesteding|101501|toerisme
04028|0414|marketing en public relations|041401|marketing, commerciele economie
04029|0414|marketing en public relations|041401|marketing, commerciele economie
04030|1015|toerisme en vrijetijdsbesteding|101501|toerisme
04031|1015|toerisme en vrijetijdsbesteding|101501|toerisme
04032|1015|toerisme en vrijetijdsbesteding|101501|toerisme
04034|0413|management bedrijfs- en personeelswetenschappen|041304|organisatiekunde, kwaliteitszorg
04035|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
04036|0321|journalistiek|032102|communicatiewetenschappen
04037|0412|financiële dienstverlening|041201|geld- en bankzaken
04038|0414|marketing en public relations|041401|marketing, commerciele economie
04039|0414|marketing en public relations|041401|marketing, commerciele economie
04040|1014|sport|101401|sport en bewegen algemeen
04041|0416|groothandel en detailhandel|041603|groothandel, export en overige handel
04042|0412|financiële dienstverlening|041202|verzekeringswezen
04043|0412|financiële dienstverlening|041201|geld- en bankzaken
04044|0413|management bedrijfs- en personeelswetenschappen|041309|office management (excl. managementassistentie)
04045|0413|management bedrijfs- en personeelswetenschappen|041309|office management (excl. managementassistentie)
04046|0413|management bedrijfs- en personeelswetenschappen|041309|office management (excl. managementassistentie)
04047|1012|schoonheids- en haarverzorging|101202|schoonheids-, lichaamsverzorging
04048|1012|schoonheids- en haarverzorging|101202|schoonheids-, lichaamsverzorging
04049|0414|marketing en public relations|041401|marketing, commerciele economie
04050|0414|marketing en public relations|041401|marketing, commerciele economie
04051|0414|marketing en public relations|041401|marketing, commerciele economie
04052|0414|marketing en public relations|041401|marketing, commerciele economie
04053|1015|toerisme en vrijetijdsbesteding|101501|toerisme
04054|1015|toerisme en vrijetijdsbesteding|101501|toerisme
04055|1015|toerisme en vrijetijdsbesteding|101501|toerisme
04056|0231|vreemde talen|023109|tolk-vertaler
04057|1014|sport|101401|sport en bewegen algemeen
04058|0714|elektronica en industriële automatisering|071404|scheepsradio-, tele- en datacommunicatie
04059|1014|sport|101401|sport en bewegen algemeen
04060|0211|audiovisuele techniek en mediaproductie|021106|grafische techniek algemeen
04061|0613|softwareontwikkeling en systeemanalyse|061303|mediatechnologie
04062|0732|bouwkunde en civiele techniek|073202|verkeerskunde
04063|0414|marketing en public relations|041403|reclame
04064|0211|audiovisuele techniek en mediaproductie|021103|multimediadesign en mediatechnologie
04065|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
04066|0913|verpleeg- en verloskunde|091301|verpleging
04067|0313|psychologie|031301|psychologie
04068|0313|psychologie|031301|psychologie
04069|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
04070|0915|therapie en revalidatie|091501|fysiotherapie, bewegingswetenschappen
04071|0415|secretariële en administratieve ondersteuning|041505|secretarieel (incl. managementassistentie)
04072|1041|transport en logistiek|104101|(transport en) logistiek algemeen
04073|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
04074|0732|bouwkunde en civiele techniek|073201|weg- en waterbouw
04075|0313|psychologie|031301|psychologie
04076|0416|groothandel en detailhandel|041603|groothandel, export en overige handel
04077|0411|financieel management en belastingen|041101|financieel management en administratie
04078|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
04079|0416|groothandel en detailhandel|041603|groothandel, export en overige handel
04080|0313|psychologie|031301|psychologie
04081|0413|management bedrijfs- en personeelswetenschappen|041306|personeelswerk
04082|1022|veiligheid op het werk en ergonomie|102201|arbeidskunde
04083|0411|financieel management en belastingen|041101|financieel management en administratie
04084|0111|onderwijskunde|011101|onderwijskunde
04085|0710|techniek en technische dienstverlening z.n.d.|071000|techniek en technische dienstverlening z.n.d.
04086|0311|economie en econometrie|031101|economie
04087|0314|sociologie en culturele wetenschappen|031402|sociologie
04088|0411|financieel management en belastingen|041103|belastingen
04089|0719|techniek en technische dienstverlening overig|071901|technische industriele vormgeving
04090|0916|farmacie|091601|farmacie
04091|0915|therapie en revalidatie|091505|orthoptie en overige therapie
04092|0211|audiovisuele techniek en mediaproductie|021103|multimediadesign en mediatechnologie
04093|0412|financiële dienstverlening|041201|geld- en bankzaken
04094|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
04098|0231|vreemde talen|023109|tolk-vertaler
04100|0113|lerarenopleiding basisonderwijs, speciaal onderwijs en basiseducatie|011302|lerarenopleiding speciaal basisonderwijs
04101|0113|lerarenopleiding basisonderwijs, speciaal onderwijs en basiseducatie|011302|lerarenopleiding speciaal basisonderwijs
04102|0113|lerarenopleiding basisonderwijs, speciaal onderwijs en basiseducatie|011302|lerarenopleiding speciaal basisonderwijs
04103|0113|lerarenopleiding basisonderwijs, speciaal onderwijs en basiseducatie|011302|lerarenopleiding speciaal basisonderwijs
04104|0114|lerarenopleiding algemene en beroepsgerichte vakken|011407|overige talen
04151|0711|scheikundige technologie en procestechniek|071104|chemische technologie
04152|0512|biochemie|051204|biotechnologie
04156|0613|softwareontwikkeling en systeemanalyse|061301|informatietechnologie algemeen
04158|0613|softwareontwikkeling en systeemanalyse|061304|applicatiebouw en programmeren
04161|0711|scheikundige technologie en procestechniek|071104|chemische technologie
04164|0612|ontwerp en beheer van database en netwerken|061201|netwerk- en systeembeheer
04166|0321|journalistiek|032102|communicatiewetenschappen
04177|0914|medische diagnostiek en medische technologie|091401|biomedische laboratoriumtechniek
04178|0711|scheikundige technologie en procestechniek|071104|chemische technologie
04180|0533|natuurkunde|053303|materiaalkunde
04181|0711|scheikundige technologie en procestechniek|071101|laboratoriumtechniek algemeen
04182|0512|biochemie|051201|biochemie, biologische laboratoriumtechniek
04184|0711|scheikundige technologie en procestechniek|071101|laboratoriumtechniek algemeen
04186|0531|scheikunde|053102|chemische laboratoriumtechniek
04189|0914|medische diagnostiek en medische technologie|091401|biomedische laboratoriumtechniek
04190|0731|architectuur en stedebouwkunde|073102|landmeetkunde
04192|0512|biochemie|051201|biochemie, biologische laboratoriumtechniek
04193|0732|bouwkunde en civiele techniek|073209|bouwmanagement, aanneming, werkvoorbereiding
04194|0732|bouwkunde en civiele techniek|073201|weg- en waterbouw
04195|0711|scheikundige technologie en procestechniek|071101|laboratoriumtechniek algemeen
04196|0711|scheikundige technologie en procestechniek|071102|procestechniek
04197|0713|elektro- en energietechniek|071301|elektrotechniek algemeen
04198|0715|werktuigbouwkunde en metaalbewerking|071507|werktuigkundig tekenaars, constructeurs
04199|0715|werktuigbouwkunde en metaalbewerking|071507|werktuigkundig tekenaars, constructeurs
04202|0811|landbouw en veeteelt|081101|land(akker)bouw algemeen
04203|0811|landbouw en veeteelt|081101|land(akker)bouw algemeen
04205|0811|landbouw en veeteelt|081101|land(akker)bouw algemeen
04213|0111|onderwijskunde|011102|pedagogiek, andragogiek
04214|0416|groothandel en detailhandel|041603|groothandel, export en overige handel
04215|1015|toerisme en vrijetijdsbesteding|101503|vrijetijdsbesteding, recreatie
04216|1012|schoonheids- en haarverzorging|101201|haarverzorging
04217|1012|schoonheids- en haarverzorging|101201|haarverzorging
04220|0731|architectuur en stedebouwkunde|073104|landschapsarchitectuur
04221|0821|bosbouw|082101|bosbouw
04222|0812|tuinbouw|081201|tuinbouw algemeen
04224|0721|levensmiddelentechnologie|072101|levensmiddelen algemeen
04226|0811|landbouw en veeteelt|081109|cultuurtechniek
04227|0521|milieu|052101|milieukunde
04228|0413|management bedrijfs- en personeelswetenschappen|041305|bedrijfseconomie
04245|0613|softwareontwikkeling en systeemanalyse|061304|applicatiebouw en programmeren
04246|0613|softwareontwikkeling en systeemanalyse|061304|applicatiebouw en programmeren
04247|0910|gezondheidszorg|091000|gezondheidszorg z.n.d.
04254|0723|textiel-, kleding-, schoenen-, en leervervaardiging|072301|maatkleding, confectie
04255|0723|textiel-, kleding-, schoenen-, en leervervaardiging|072304|textiel-, leerverwerking overig
04256|0613|softwareontwikkeling en systeemanalyse|061301|informatietechnologie algemeen
04261|0732|bouwkunde en civiele techniek|073209|bouwmanagement, aanneming, werkvoorbereiding
04262|0716|voertuigtechniek, scheepsbouw- en vliegtuigbouwkunde|071602|auto-, motorfietstechniek
04263|0732|bouwkunde en civiele techniek|073203|bouw
04264|0533|natuurkunde|053303|materiaalkunde
04265|0413|management bedrijfs- en personeelswetenschappen|041308|bedrijfstechniek, technische bedrijfsvoering
04267|0713|elektro- en energietechniek|071301|elektrotechniek algemeen
04268|0533|natuurkunde|053301|natuurkunde
04269|0613|softwareontwikkeling en systeemanalyse|061301|informatietechnologie algemeen
04270|0714|elektronica en industriële automatisering|071406|computertechniek en computer engineering
04272|0731|architectuur en stedebouwkunde|073102|landmeetkunde
04273|0715|werktuigbouwkunde en metaalbewerking|071503|constructiewerken, machinebankwerken, lassen, smeden, gieten
04275|0711|scheikundige technologie en procestechniek|071104|chemische technologie
04276|0716|voertuigtechniek, scheepsbouw- en vliegtuigbouwkunde|071605|scheepsbouwkunde
04277|0715|werktuigbouwkunde en metaalbewerking|071504|fijnmechanische techniek, instrumentmaken
04278|0716|voertuigtechniek, scheepsbouw- en vliegtuigbouwkunde|071606|vliegtuigbouwkunde
04279|0732|bouwkunde en civiele techniek|073201|weg- en waterbouw
04280|0715|werktuigbouwkunde en metaalbewerking|071501|werktuigbouwkunde algemeen
04281|0732|bouwkunde en civiele techniek|073202|verkeerskunde
04282|0731|architectuur en stedebouwkunde|073101|planologie
04284|0521|milieu|052101|milieukunde
04285|1041|transport en logistiek|104101|(transport en) logistiek algemeen
04286|1041|transport en logistiek|104104|luchtvaart
04287|0413|management bedrijfs- en personeelswetenschappen|041308|bedrijfstechniek, technische bedrijfsvoering
04288|0533|natuurkunde|053303|materiaalkunde
04289|0613|softwareontwikkeling en systeemanalyse|061301|informatietechnologie algemeen
04290|0613|softwareontwikkeling en systeemanalyse|061301|informatietechnologie algemeen
04291|0710|techniek en technische dienstverlening z.n.d.|071000|techniek en technische dienstverlening z.n.d.
04292|0613|softwareontwikkeling en systeemanalyse|061301|informatietechnologie algemeen
04293|1041|transport en logistiek|104101|(transport en) logistiek algemeen
04303|0114|lerarenopleiding algemene en beroepsgerichte vakken|011420|agrarisch
04304|0114|lerarenopleiding algemene en beroepsgerichte vakken|011420|agrarisch
04305|0114|lerarenopleiding algemene en beroepsgerichte vakken|011420|agrarisch
04306|0114|lerarenopleiding algemene en beroepsgerichte vakken|011420|agrarisch
04307|0114|lerarenopleiding algemene en beroepsgerichte vakken|011420|agrarisch
04308|0114|lerarenopleiding algemene en beroepsgerichte vakken|011420|agrarisch
04309|0114|lerarenopleiding algemene en beroepsgerichte vakken|011421|techniek
04310|0114|lerarenopleiding algemene en beroepsgerichte vakken|011420|agrarisch
04312|0114|lerarenopleiding algemene en beroepsgerichte vakken|011420|agrarisch
04320|0731|architectuur en stedebouwkunde|073103|bouwkundige architectuur, stedenbouw
04321|0731|architectuur en stedebouwkunde|073103|bouwkundige architectuur, stedenbouw
04322|0731|architectuur en stedebouwkunde|073104|landschapsarchitectuur
04326|0416|groothandel en detailhandel|041603|groothandel, export en overige handel
04327|0721|levensmiddelentechnologie|072101|levensmiddelen algemeen
04328|0821|bosbouw|082101|bosbouw
04329|0811|landbouw en veeteelt|081102|planten-, groente en fruitteelt
04330|0811|landbouw en veeteelt|081103|dierenteelt, -verzorging algemeen
04331|0512|biochemie|051204|biotechnologie
04332|0712|milieubescherming en milieutechnologie|071201|milieutechnologie
04333|0811|landbouw en veeteelt|081103|dierenteelt, -verzorging algemeen
04334|0411|financieel management en belastingen|041101|financieel management en administratie
04335|0712|milieubescherming en milieutechnologie|071201|milieutechnologie
04336|0731|architectuur en stedebouwkunde|073103|bouwkundige architectuur, stedenbouw
04337|0731|architectuur en stedebouwkunde|073104|landschapsarchitectuur
04338|0731|architectuur en stedebouwkunde|073103|bouwkundige architectuur, stedenbouw
04349|0714|elektronica en industriële automatisering|071401|elektronica algemeen
04353|1041|transport en logistiek|104105|scheepvaart
04356|1041|transport en logistiek|104106|scheepswerktuigkunde
04357|1041|transport en logistiek|104106|scheepswerktuigkunde
04358|1041|transport en logistiek|104106|scheepswerktuigkunde
04359|1041|transport en logistiek|104106|scheepswerktuigkunde
04360|0714|elektronica en industriële automatisering|071404|scheepsradio-, tele- en datacommunicatie
04362|1041|transport en logistiek|104105|scheepvaart
04363|1041|transport en logistiek|104105|scheepvaart
04364|1041|transport en logistiek|104106|scheepswerktuigkunde
04365|1041|transport en logistiek|104106|scheepswerktuigkunde
04366|0114|lerarenopleiding algemene en beroepsgerichte vakken|011421|techniek
04367|1041|transport en logistiek|104104|luchtvaart
04368|1041|transport en logistiek|104105|scheepvaart
04369|0715|werktuigbouwkunde en metaalbewerking|071505|bedrijfswerktuigkundigen, machinisten e.d.
04371|0732|bouwkunde en civiele techniek|073202|verkeerskunde
04372|1041|transport en logistiek|104102|wegvervoer
04373|1041|transport en logistiek|104102|wegvervoer
04374|1041|transport en logistiek|104101|(transport en) logistiek algemeen
04375|1041|transport en logistiek|104101|(transport en) logistiek algemeen
04378|1011|huishoudkunde, facilitaire dienstverlening en reiniging|101102|facilitaire dienstverlening
04379|0724|delfstofwinning|072401|delfstofwinning
04380|1041|transport en logistiek|104106|scheepswerktuigkunde
04381|0731|architectuur en stedebouwkunde|073101|planologie
04382|1041|transport en logistiek|104101|(transport en) logistiek algemeen
04383|1041|transport en logistiek|104106|scheepswerktuigkunde
04384|1041|transport en logistiek|104106|scheepswerktuigkunde
04386|0715|werktuigbouwkunde en metaalbewerking|071505|bedrijfswerktuigkundigen, machinisten e.d.
04387|0715|werktuigbouwkunde en metaalbewerking|071505|bedrijfswerktuigkundigen, machinisten e.d.
04388|0715|werktuigbouwkunde en metaalbewerking|071505|bedrijfswerktuigkundigen, machinisten e.d.
04389|0719|techniek en technische dienstverlening overig|071901|technische industriele vormgeving
04390|1041|transport en logistiek|104101|(transport en) logistiek algemeen
04391|0533|natuurkunde|053303|materiaalkunde
04393|1041|transport en logistiek|104101|(transport en) logistiek algemeen
04394|0322|bibliotheek, documentaire informatievoorziening|032201|bibliotheek, archief
04396|0711|scheikundige technologie en procestechniek|071104|chemische technologie
04397|0914|medische diagnostiek en medische technologie|091401|biomedische laboratoriumtechniek
04398|1041|transport en logistiek|104101|(transport en) logistiek algemeen
04399|1041|transport en logistiek|104101|(transport en) logistiek algemeen
04400|0410|bedrijfskunde en administratie z.n.d.|041000|bedrijfskunde en administratie z.n.d.
04401|0411|financieel management en belastingen|041101|financieel management en administratie
04402|0414|marketing en public relations|041401|marketing, commerciele economie
04403|0413|management bedrijfs- en personeelswetenschappen|041302|juridische bestuurskunde
04404|0613|softwareontwikkeling en systeemanalyse|061305|bedrijfsinformatica
04405|0321|journalistiek|032102|communicatiewetenschappen
04406|0411|financieel management en belastingen|041101|financieel management en administratie
04407|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
04408|0413|management bedrijfs- en personeelswetenschappen|041301|bestuurskunde algemeen
04409|0311|economie en econometrie|031101|economie
04410|1015|toerisme en vrijetijdsbesteding|101501|toerisme
04411|1013|horeca|101301|horeca algemeen
04412|1015|toerisme en vrijetijdsbesteding|101501|toerisme
04414|0412|financiële dienstverlening|041201|geld- en bankzaken
04416|0416|groothandel en detailhandel|041602|detailhandel
04417|0413|management bedrijfs- en personeelswetenschappen|041301|bestuurskunde algemeen
04418|0411|financieel management en belastingen|041101|financieel management en administratie
04419|0314|sociologie en culturele wetenschappen|031403|cultuurwetenschappen
04420|0211|audiovisuele techniek en mediaproductie|021103|multimediadesign en mediatechnologie
04421|0413|management bedrijfs- en personeelswetenschappen|041308|bedrijfstechniek, technische bedrijfsvoering
04422|0416|groothandel en detailhandel|041602|detailhandel
04423|0613|softwareontwikkeling en systeemanalyse|061305|bedrijfsinformatica
04424|1015|toerisme en vrijetijdsbesteding|101501|toerisme
04425|0613|softwareontwikkeling en systeemanalyse|061305|bedrijfsinformatica
04426|0411|financieel management en belastingen|041101|financieel management en administratie
04430|0211|audiovisuele techniek en mediaproductie|021103|multimediadesign en mediatechnologie
04431|1013|horeca|101301|horeca algemeen
04432|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
04433|1011|huishoudkunde, facilitiaire dienstverlening en reiniging|101102|facilitaire dienstverlening
04435|0413|management bedrijfs- en personeelswetenschappen|041302|juridische bestuurskunde
04436|1041|transport en logistiek|104101|(transport en) logistiek algemeen
04438|1015|toerisme en vrijetijdsbesteding|101503|vrijetijdsbesteding, recreatie
04439|1041|transport en logistiek|104106|scheepswerktuigkunde
04442|0411|financieel management en belastingen|041101|financieel management en administratie
04448|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
04456|0231|vreemde talen z.n.d.|023108|niet westerse talen en culturen
04457|0414|marketing en public relations|041401|marketing, commerciele economie
04460|0414|marketing en public relations|041401|marketing, commerciele economie
04463|0414|marketing en public relations|041401|marketing, commerciele economie
04464|0413|management bedrijfs- en personeelswetenschappen|041301|bestuurskunde algemeen
04469|0411|financieel management en belastingen|041101|financieel management en administratie
04470|0411|financieel management en belastingen|041101|financieel management en administratie
04471|0221|theologie, levensbeschouwing|022101|theologie
04472|0714|elektronica en industriële automatisering|071401|elektronica algemeen
04473|0521|milieu|052101|milieukunde
04474|0714|elektronica en industriële automatisering|071403|industriële procesautomatisering
04475|0613|softwareontwikkeling en systeemanalyse|061301|informatietechnologie algemeen
04476|0711|scheikundige technologie en procestechniek|071104|chemische technologie
04477|0914|medische diagnostiek en medische technologie|091408|hart-, longfunctie en overige medische techniek
04478|0414|marketing en public relations|041401|marketing, commerciele economie
04479|0613|softwareontwikkeling en systeemanalyse|061301|informatietechnologie algemeen
04480|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
04481|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
04482|0414|marketing en public relations|041401|marketing, commerciele economie
04483|0231|vreemde talen|023102|Engels
04484|0411|financieel management en belastingen|041101|financieel management en administratie
04485|0231|vreemde talen|023105|Spaans
04486|0231|vreemde talen|023105|Spaans
04487|0114|lerarenopleiding algemene en beroepsgerichte vakken|011407|overige talen
04489|0231|vreemde talen|023109|tolk-vertaler
04490|0231|vreemde talen|023109|tolk-vertaler
04491|0416|groothandel en detailhandel|041604|makelaardij, vastgoedkunde
04493|0411|financieel management en belastingen|041101|financieel management en administratie
04496|0411|financieel management en belastingen|041101|financieel management en administratie
04497|0414|marketing en public relations|041402|public relations
04498|0414|marketing en public relations|041402|public relations
04499|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
04500|1011|huishoudkunde, facilitaire dienstverlening en reiniging|101102|facilitaire dienstverlening
04501|0922|jeugdpedagogisch werk en kinderverzorging|092201|jeugdpedagogisch werk en kinderverzorging
04503|0923|maatschappelijk werk en beroepskeuzewerk|092303|sociaal-maatschappelijke dienstverlening
04505|0413|management bedrijfs- en personeelswetenschappen|041301|bestuurskunde algemeen
04506|0917|traditionele en alternatieve geneeskunde en therapie|091701|traditionele en alternatieve geneeskunde en therapie
04509|0321|journalistiek|032102|communicatiewetenschappen
04510|0414|marketing en public relations|041403|reclame
04511|0712|milieubescherming en milieutechnologie|071202|milieumanagement
04512|0416|groothandel en detailhandel|041604|makelaardij, vastgoedkunde
04513|0416|groothandel en detailhandel|041604|makelaardij, vastgoedkunde
04514|0413|management bedrijfs- en personeelswetenschappen|041306|personeelswerk
04515|0412|financiële dienstverlening|041201|geld- en bankzaken
04516|0412|financiële dienstverlening|041202|verzekeringswezen
04517|0412|financiële dienstverlening|041202|verzekeringswezen
04518|0414|marketing en public relations|041401|marketing, commerciele economie
04519|0414|marketing en public relations|041401|marketing, commerciele economie
04520|0413|management bedrijfs- en personeelswetenschappen|041306|personeelswerk
04521|0414|marketing en public relations|041401|marketing, commerciele economie
04522|0414|marketing en public relations|041401|marketing, commerciele economie
04523|0414|marketing en public relations|041401|marketing, commerciele economie
04524|0415|secretariële en administratieve ondersteuning|041503|administratie algemeen
04525|1015|toerisme en vrijetijdsbesteding|101502|reisbureau, touroperating
04526|0416|groothandel en detailhandel|041604|makelaardij, vastgoedkunde
04528|0613|softwareontwikkeling en systeemanalyse|061305|bedrijfsinformatica
04529|0411|financieel management en belastingen|041103|belastingen
04530|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
04531|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
04532|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
04533|1011|huishoudkunde, facilitiaire dienstverlening en reiniging|101102|facilitaire dienstverlening
04534|0414|marketing en public relations|041401|marketing, commerciele economie
04535|0414|marketing en public relations|041401|marketing, commerciele economie
04536|0413|management bedrijfs- en personeelswetenschappen|041306|personeelswerk
04537|1013|horeca|101301|horeca algemeen
04539|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
04540|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
04542|0415|secretariële en administratieve ondersteuning|041505|secretarieel (incl. managementassistentie)
04543|0415|secretariële en administratieve ondersteuning|041505|secretarieel (incl. managementassistentie)
04544|0416|groothandel en detailhandel|041604|makelaardij, vastgoedkunde
04545|0411|financieel management en belastingen|041101|financieel management en administratie
04546|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
04547|0914|medische diagnostiek en medische technologie|091408|hart-, longfunctie en overige medische techniek
04549|0914|medische diagnostiek en medische technologie|091402|optiek, oogmeetkunde, contactlenzen
04552|0914|medische diagnostiek en medische technologie|091401|biomedische laboratoriumtechniek
04553|0613|softwareontwikkeling en systeemanalyse|061305|bedrijfsinformatica
04554|0914|medische diagnostiek en medische technologie|091408|hart-, longfunctie en overige medische techniek
04555|0231|vreemde talen|023103|Frans
04556|0231|vreemde talen|023105|Spaans
04557|0231|vreemde talen|023104|Duits
04558|0917|traditionele en alternatieve geneeskunde en therapie|091701|traditionele en alternatieve geneeskunde en therapie
04559|1013|horeca|101301|horeca algemeen
04560|0913|verpleeg- en verloskunde|091301|verpleging
04561|0914|medische diagnostiek en medische technologie|091407|radiologie, beeldvormende technieken
04564|0114|lerarenopleiding algemene en beroepsgerichte vakken|011426|medisch, paramedisch
04565|0913|verpleeg- en verloskunde|091301|verpleging
04567|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
04568|0114|lerarenopleiding algemene en beroepsgerichte vakken|011426|medisch, paramedisch
04570|0915|therapie en revalidatie|091501|fysiotherapie, bewegingswetenschappen
04571|0915|therapie en revalidatie|091501|fysiotherapie, bewegingswetenschappen
04572|0915|therapie en revalidatie|091501|fysiotherapie, bewegingswetenschappen
04574|0915|therapie en revalidatie|091502|arbeids-, ergotherapie
04576|0911|tandheelkunde|091102|mondhygiënist
04577|0915|therapie en revalidatie|091505|orthoptie en overige therapie
04578|0915|therapie en revalidatie|091504|logo-, akoepedie
04579|0915|therapie en revalidatie|091503|voeding en dietetiek
04581|0915|therapie en revalidatie|091505|orthoptie en overige therapie
04582|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
04583|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
04584|0914|medische diagnostiek en medische technologie|091406|prothesetechniek, bewegingstechnologie overig
04585|0313|psychologie|031302|psychotherapie
04586|0910|gezondheidszorg|091000|gezondheidszorg z.n.d.
04588|1015|toerisme en vrijetijdsbesteding|101501|toerisme
04589|0414|marketing en public relations|041401|marketing, commerciele economie
04590|0231|vreemde talen|023103|Frans
04593|0231|vreemde talen|023102|Engels
04596|0613|softwareontwikkeling en systeemanalyse|061301|informatietechnologie algemeen
04597|0412|financiële dienstverlening|041201|geld- en bankzaken
04598|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
04599|1015|toerisme en vrijetijdsbesteding|101503|vrijetijdsbesteding, recreatie
04600|0923|maatschappelijk werk en beroepskeuzewerk|092303|sociaal-maatschappelijke dienstverlening
04601|0416|groothandel en detailhandel|041603|groothandel, export en overige handel
04602|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
04603|0414|marketing en public relations|041403|reclame
